,INI_SIGN_MONTH,INI_CONTRACT_TYPE,CONTRACT1_TYPE,CONTRACT2_TYPE,CONTRACT3_TYPE,CONTRACTS,CONTRACTS_GR,DUR_INI_FIRST,DUR_INI_SECOND,DUR_INI_THIRD,DUR_FIRST_SECOND,DUR_FIRST_THIRD,DUR_SECOND_THIRD,CLIENTS
62,2021-06-01,CD,CL,NC,NC,1,1,15.0,,,,,,67
63,2021-06-01,CD,CD,CL,NC,2,2,1.0,5.0,,4.0,,,1
64,2021-05-01,CD,TW,NC,NC,1,1,11.0,,,,,,23
65,2021-05-01,CD,TW,NC,NC,1,1,23.0,,,,,,10
66,2021-07-01,CD,CD,CD,NC,2,2,9.0,20.0,,11.0,,,8
67,2021-05-01,CD,CD,CD,NC,2,2,6.0,11.0,,5.0,,,22
68,2021-07-01,CD,CC,NC,NC,1,1,6.0,,,,,,21
69,2021-05-01,CD,CL,NC,NC,1,1,16.0,,,,,,95
70,2021-06-01,CD,CD,CD,CD,3,3,11.0,15.0,30.0,4.0,19.0,15.0,2
71,2021-05-01,CD,CD,TW,NC,2,2,5.0,32.0,,27.0,,,2
72,2021-06-01,CD,CD,CD,CD,5,3+,10.0,29.0,30.0,19.0,20.0,1.0,1
73,2021-05-01,CD,CD,CD,NC,2,2,8.0,28.0,,20.0,,,20
74,2021-06-01,CC,CL,CL,HPL,4,3+,17.0,23.0,35.0,6.0,18.0,12.0,1
75,2021-07-01,CC,CD,NC,NC,1,1,13.0,,,,,,1
76,2021-05-01,CD,CL,CL,CL,3,3,7.0,13.0,38.0,6.0,31.0,25.0,1
77,2021-05-01,CD,CD,TW,NC,2,2,8.0,21.0,,13.0,,,1
78,2021-05-01,CD,CD,CD,NC,2,2,8.0,29.0,,21.0,,,13
79,2021-05-01,CD,TW,CD,CD,6,3+,3.0,13.0,16.0,10.0,13.0,3.0,1
80,2021-06-01,CD,CD,NC,NC,1,1,30.0,,,,,,335
81,2021-07-01,CD,CL,CD,NC,2,2,5.0,24.0,,19.0,,,2
82,2021-07-01,CD,CD,CD,NC,2,2,10.0,26.0,,16.0,,,6
83,2021-06-01,CD,CD,CD,NC,2,2,12.0,15.0,,3.0,,,6
84,2021-07-01,CD,CD,CD,CD,4,3+,12.0,27.0,36.0,15.0,24.0,9.0,1
85,2021-05-01,CD,CD,CD,NC,2,2,11.0,20.0,,9.0,,,18
86,2021-05-01,CD,CC,CL,CL,4,3+,1.0,32.0,36.0,31.0,35.0,4.0,1
87,2021-06-01,CD,CD,CD,NC,2,2,10.0,15.0,,5.0,,,12
88,2021-05-01,CD,CD,CD,TW,3,3,6.0,9.0,18.0,3.0,12.0,9.0,1
89,2021-07-01,CD,CD,CD,NC,2,2,6.0,15.0,,9.0,,,15
90,2021-05-01,CD,CD,CC,NC,2,2,11.0,14.0,,3.0,,,2
91,2021-06-01,CD,CD,CD,CD,3,3,7.0,13.0,15.0,6.0,8.0,2.0,1
92,2021-05-01,CL,CC,NC,NC,1,1,5.0,,,,,,1
93,2021-07-01,CD,CD,CC,CL,3,3,9.0,16.0,39.0,7.0,30.0,23.0,1
94,2021-06-01,CD,CC,CL,NC,2,2,0.0,20.0,,20.0,,,1
95,2021-07-01,CL,CD,NC,NC,1,1,7.0,,,,,,6
96,2021-07-01,CL,CL,NC,NC,1,1,5.0,,,,,,35
97,2021-05-01,CD,CD,CD,NC,2,2,20.0,39.0,,19.0,,,13
98,2021-05-01,CD,CD,CD,CC,3,3,8.0,25.0,28.0,17.0,20.0,3.0,1
99,2021-06-01,CD,CD,CD,CD,3,3,13.0,20.0,31.0,7.0,18.0,11.0,2
100,2021-07-01,CD,CD,CD,NC,2,2,4.0,35.0,,31.0,,,3
101,2021-06-01,CD,CC,CL,NC,2,2,0.0,4.0,,4.0,,,2
102,2021-07-01,CL,CD,NC,NC,1,1,30.0,,,,,,7
103,2021-05-01,TW,TW,TW,NC,2,2,6.0,23.0,,17.0,,,1
104,2021-05-01,CD,CL,CL,CC,3,3,9.0,40.0,41.0,31.0,32.0,1.0,1
105,2021-06-01,CD,CD,CD,NC,2,2,14.0,25.0,,11.0,,,17
106,2021-05-01,CD,CD,CD,NC,2,2,8.0,13.0,,5.0,,,31
107,2021-06-01,CL,CL,CL,CC,3,3,2.0,28.0,35.0,26.0,33.0,7.0,1
108,2021-07-01,CD,CD,CD,CD,3,3,4.0,28.0,33.0,24.0,29.0,5.0,1
109,2021-05-01,CD,CD,CD,NC,2,2,6.0,9.0,,3.0,,,13
110,2021-05-01,CD,CL,CL,HPL,4,3+,10.0,17.0,39.0,7.0,29.0,22.0,1
111,2021-06-01,CD,CD,CD,CD,3,3,4.0,14.0,33.0,10.0,29.0,19.0,1
112,2021-07-01,CD,TW,NC,NC,1,1,33.0,,,,,,4
113,2021-05-01,CD,CD,CD,CC,3,3,16.0,24.0,24.0,8.0,8.0,0.0,1
114,2021-06-01,CD,CD,CD,NC,2,2,5.0,14.0,,9.0,,,13
115,2021-05-01,TW,CD,NC,NC,1,1,11.0,,,,,,20
116,2021-06-01,TW,CD,NC,NC,1,1,32.0,,,,,,11
117,2021-05-01,CD,CD,CD,CL,3,3,9.0,29.0,33.0,20.0,24.0,4.0,1
118,2021-06-01,CD,CD,CD,CD,3,3,9.0,30.0,36.0,21.0,27.0,6.0,1
119,2021-06-01,CD,CD,CC,CD,6,3+,5.0,5.0,6.0,0.0,1.0,1.0,1
120,2021-06-01,CD,CD,CD,NC,2,2,7.0,21.0,,14.0,,,12
121,2021-05-01,CD,CD,CD,CD,3,3,4.0,29.0,39.0,25.0,35.0,10.0,2
122,2021-06-01,CD,CD,CD,NC,2,2,24.0,37.0,,13.0,,,8
123,2021-05-01,CD,CD,CD,NC,2,2,31.0,40.0,,9.0,,,8
124,2021-07-01,TW,CD,TW,NC,2,2,9.0,17.0,,8.0,,,1
125,2021-05-01,CD,CC,NC,NC,1,1,41.0,,,,,,8
126,2021-06-01,CD,CD,CD,NC,2,2,7.0,10.0,,3.0,,,24
127,2021-07-01,CD,CD,CL,NC,2,2,5.0,38.0,,33.0,,,1
128,2021-05-01,CL,CD,NC,NC,1,1,9.0,,,,,,1
129,2021-05-01,TW,CD,NC,NC,1,1,23.0,,,,,,13
130,2021-05-01,CD,CD,CC,NC,2,2,21.0,22.0,,1.0,,,2
131,2021-05-01,CD,CD,CD,CD,3,3,5.0,7.0,35.0,2.0,30.0,28.0,1
132,2021-05-01,TW,HPL,CD,NC,2,2,41.0,41.0,,0.0,,,1
133,2021-05-01,CD,CL,NC,NC,1,1,10.0,,,,,,101
134,2021-05-01,TW,CL,NC,NC,1,1,41.0,,,,,,2
135,2021-05-01,TW,CD,NC,NC,1,1,9.0,,,,,,18
136,2021-05-01,CD,CD,TW,CD,4,3+,5.0,5.0,20.0,0.0,15.0,15.0,1
137,2021-05-01,CD,CD,CC,NC,2,2,9.0,41.0,,32.0,,,1
138,2021-05-01,CD,CD,CD,NC,2,2,26.0,35.0,,9.0,,,14
139,2021-05-01,CD,CD,CD,CC,3,3,6.0,19.0,27.0,13.0,21.0,8.0,1
140,2021-05-01,CD,CD,CD,CD,3,3,14.0,16.0,32.0,2.0,18.0,16.0,1
141,2021-05-01,CD,CD,CD,CD,4,3+,6.0,17.0,30.0,11.0,24.0,13.0,1
142,2021-05-01,CD,CL,CL,CD,3,3,6.0,19.0,33.0,13.0,27.0,14.0,1
143,2021-05-01,CD,CD,CD,CD,3,3,14.0,28.0,39.0,14.0,25.0,11.0,1
144,2021-05-01,CD,CD,CD,CD,3,3,4.0,6.0,27.0,2.0,23.0,21.0,1
145,2021-05-01,CD,HPL,NC,NC,1,1,38.0,,,,,,6
146,2021-05-01,CD,CD,CD,CD,3,3,14.0,26.0,31.0,12.0,17.0,5.0,2
147,2021-05-01,CD,CL,CD,CD,3,3,7.0,31.0,41.0,24.0,34.0,10.0,1
148,2021-05-01,CD,CD,CD,NC,2,2,20.0,35.0,,15.0,,,13
149,2021-05-01,CD,CD,CC,NC,2,2,5.0,5.0,,0.0,,,14
150,2021-05-01,CD,CC,CL,NC,2,2,18.0,18.0,,0.0,,,8
151,2021-05-01,CD,TW,NC,NC,1,1,5.0,,,,,,21
152,2021-05-01,CD,CD,CL,CL,3,3,6.0,14.0,22.0,8.0,16.0,8.0,1
153,2021-05-01,CD,CC,CD,NC,2,2,27.0,35.0,,8.0,,,1
154,2021-05-01,CD,CD,CD,CD,3,3,6.0,8.0,15.0,2.0,9.0,7.0,2
155,2021-05-01,CD,CD,CD,CD,5,3+,9.0,17.0,33.0,8.0,24.0,16.0,1
156,2021-05-01,CD,CD,CC,NC,2,2,23.0,23.0,,0.0,,,4
157,2021-05-01,CD,CD,CD,CD,4,3+,15.0,18.0,26.0,3.0,11.0,8.0,1
158,2021-05-01,CD,CC,CL,NC,2,2,22.0,22.0,,0.0,,,4
159,2021-05-01,CD,CD,CD,CD,4,3+,6.0,22.0,28.0,16.0,22.0,6.0,1
160,2021-05-01,CD,CD,TW,NC,2,2,7.0,19.0,,12.0,,,1
161,2021-05-01,CD,CD,CD,NC,2,2,24.0,37.0,,13.0,,,14
162,2021-05-01,CD,CD,CD,NC,2,2,11.0,13.0,,2.0,,,12
163,2021-05-01,CD,CL,CL,CL,3,3,10.0,29.0,36.0,19.0,26.0,7.0,1
164,2021-05-01,CD,CD,CD,CD,3,3,8.0,17.0,38.0,9.0,30.0,21.0,1
165,2021-05-01,CD,CD,CD,NC,2,2,4.0,9.0,,5.0,,,13
166,2021-05-01,CD,CD,CD,CD,3,3,0.0,8.0,18.0,8.0,18.0,10.0,1
167,2021-05-01,CD,CD,CD,CD,3,3,6.0,13.0,35.0,7.0,29.0,22.0,1
168,2021-05-01,CD,CD,CD,CD,3,3,10.0,15.0,22.0,5.0,12.0,7.0,1
169,2021-05-01,CD,CD,CD,NC,2,2,6.0,29.0,,23.0,,,11
170,2021-05-01,CD,CD,CD,NC,2,2,35.0,37.0,,2.0,,,11
171,2021-05-01,CD,CL,CL,NC,2,2,13.0,27.0,,14.0,,,2
172,2021-05-01,CD,CD,CD,CL,4,3+,7.0,32.0,40.0,25.0,33.0,8.0,1
173,2021-05-01,CD,CD,CD,CD,3,3,20.0,33.0,38.0,13.0,18.0,5.0,1
174,2021-05-01,CD,CD,CD,NC,2,2,0.0,11.0,,11.0,,,5
175,2021-05-01,CD,CD,CL,CL,3,3,6.0,11.0,22.0,5.0,16.0,11.0,2
176,2021-05-01,CL,CD,NC,NC,1,1,37.0,,,,,,1
177,2021-05-01,CD,CD,CL,NC,2,2,7.0,13.0,,6.0,,,3
178,2021-05-01,CD,CD,CD,CD,3,3,7.0,17.0,35.0,10.0,28.0,18.0,3
179,2021-05-01,CD,CD,CD,HPL,4,3+,31.0,34.0,35.0,3.0,4.0,1.0,1
180,2021-05-01,CC,CL,CL,CD,6,3+,5.0,6.0,10.0,1.0,5.0,4.0,1
181,2021-05-01,CD,CL,CD,CD,3,3,2.0,16.0,16.0,14.0,14.0,0.0,1
182,2021-05-01,CD,CD,CD,NC,2,2,7.0,17.0,,10.0,,,12
183,2021-05-01,CD,CD,CC,NC,2,2,1.0,18.0,,17.0,,,2
184,2021-05-01,CD,TW,NC,NC,1,1,19.0,,,,,,24
185,2021-05-01,CD,CD,CD,NC,2,2,22.0,30.0,,8.0,,,8
186,2021-05-01,CD,CD,HPL,NC,2,2,11.0,27.0,,16.0,,,1
187,2021-05-01,CC,CL,CL,NC,2,2,10.0,15.0,,5.0,,,1
188,2021-05-01,CD,CD,CL,CC,4,3+,18.0,19.0,25.0,1.0,7.0,6.0,1
189,2021-05-01,CD,CD,CD,CD,3,3,0.0,9.0,27.0,9.0,27.0,18.0,1
190,2021-05-01,CD,CD,CD,CD,6,3+,10.0,14.0,19.0,4.0,9.0,5.0,1
191,2021-05-01,CD,CD,CD,NC,2,2,10.0,26.0,,16.0,,,12
192,2021-05-01,CD,CC,CL,CL,4,3+,0.0,11.0,27.0,11.0,27.0,16.0,1
193,2021-05-01,CD,CD,CD,CD,3,3,15.0,20.0,33.0,5.0,18.0,13.0,1
194,2021-05-01,CD,CD,CD,CD,4,3+,6.0,15.0,21.0,9.0,15.0,6.0,1
195,2021-05-01,CD,CD,CD,NC,2,2,5.0,34.0,,29.0,,,12
196,2021-05-01,CD,CD,CC,NC,2,2,39.0,39.0,,0.0,,,4
197,2021-05-01,CD,CD,CD,CD,7,3+,8.0,14.0,14.0,6.0,6.0,0.0,1
198,2021-05-01,CD,CD,CD,NC,2,2,28.0,38.0,,10.0,,,10
199,2021-05-01,CD,CD,CD,NC,2,2,27.0,40.0,,13.0,,,6
200,2021-05-01,CD,CD,CC,NC,2,2,35.0,35.0,,0.0,,,5
201,2021-05-01,CD,CD,HPL,NC,2,2,39.0,39.0,,0.0,,,3
202,2021-05-01,CD,CL,CL,NC,2,2,5.0,21.0,,16.0,,,2
203,2021-05-01,CD,CL,CD,CD,4,3+,5.0,12.0,14.0,7.0,9.0,2.0,1
204,2021-05-01,CD,CL,CL,NC,2,2,27.0,33.0,,6.0,,,1
205,2021-05-01,CD,CD,CL,CC,3,3,10.0,11.0,21.0,1.0,11.0,10.0,1
206,2021-05-01,CD,CD,CD,CD,3,3,10.0,30.0,35.0,20.0,25.0,5.0,2
207,2021-05-01,CD,CD,CD,CD,4,3+,16.0,24.0,35.0,8.0,19.0,11.0,1
208,2021-05-01,CD,CD,CD,CD,3,3,5.0,33.0,41.0,28.0,36.0,8.0,1
209,2021-05-01,CD,CC,CD,NC,2,2,25.0,35.0,,10.0,,,1
210,2021-05-01,CD,CD,CD,CD,3,3,8.0,23.0,24.0,15.0,16.0,1.0,2
211,2021-05-01,CD,CC,CD,NC,2,2,5.0,18.0,,13.0,,,1
212,2021-05-01,CD,CL,CD,NC,2,2,17.0,29.0,,12.0,,,3
213,2021-05-01,CD,CD,CC,NC,2,2,30.0,38.0,,8.0,,,1
214,2021-05-01,CD,CD,CD,CD,3,3,25.0,35.0,39.0,10.0,14.0,4.0,1
215,2021-05-01,CD,CL,CD,NC,2,2,15.0,32.0,,17.0,,,1
216,2021-05-01,CD,CD,CC,NC,2,2,5.0,14.0,,9.0,,,3
217,2021-05-01,CD,CL,NC,NC,1,1,37.0,,,,,,11
218,2021-05-01,CD,CL,HPL,NC,2,2,5.0,35.0,,30.0,,,1
219,2021-05-01,CD,CD,CD,NC,2,2,9.0,37.0,,28.0,,,14
220,2021-05-01,CD,CL,CD,CC,7,3+,7.0,13.0,13.0,6.0,6.0,0.0,1
221,2021-05-01,CD,CD,CD,NC,2,2,6.0,34.0,,28.0,,,9
222,2021-05-01,CD,CD,CD,CD,4,3+,13.0,31.0,35.0,18.0,22.0,4.0,1
223,2021-05-01,CD,CD,CD,CD,3,3,10.0,16.0,22.0,6.0,12.0,6.0,2
224,2021-05-01,CD,CL,CL,NC,2,2,7.0,18.0,,11.0,,,3
225,2021-05-01,CD,CD,CL,NC,2,2,4.0,15.0,,11.0,,,1
226,2021-05-01,CD,CD,CD,CL,4,3+,10.0,26.0,35.0,16.0,25.0,9.0,2
227,2021-05-01,CD,CD,CD,CD,3,3,7.0,17.0,40.0,10.0,33.0,23.0,2
228,2021-05-01,CD,CL,CC,NC,2,2,10.0,22.0,,12.0,,,1
229,2021-05-01,CD,CD,CD,CD,3,3,4.0,17.0,34.0,13.0,30.0,17.0,1
230,2021-05-01,CD,CL,NC,NC,1,1,39.0,,,,,,22
231,2021-05-01,CD,CD,CD,NC,2,2,2.0,18.0,,16.0,,,3
232,2021-05-01,CD,CC,CD,CD,3,3,7.0,15.0,16.0,8.0,9.0,1.0,1
233,2021-05-01,CD,CD,CD,NC,2,2,25.0,36.0,,11.0,,,7
234,2021-05-01,CD,CD,CD,CD,4,3+,7.0,19.0,28.0,12.0,21.0,9.0,1
235,2021-05-01,CD,CD,CD,NC,2,2,26.0,31.0,,5.0,,,9
236,2021-05-01,CD,CD,CD,NC,2,2,8.0,22.0,,14.0,,,21
237,2021-05-01,CD,CD,CD,NC,2,2,6.0,18.0,,12.0,,,21
238,2021-05-01,CD,CD,CD,CD,3,3,5.0,10.0,40.0,5.0,35.0,30.0,2
239,2021-05-01,CD,CL,CL,CL,5,3+,8.0,13.0,19.0,5.0,11.0,6.0,1
240,2021-05-01,CD,CL,CL,CL,3,3,7.0,17.0,26.0,10.0,19.0,9.0,1
241,2021-05-01,CD,CD,CD,CD,3,3,8.0,16.0,38.0,8.0,30.0,22.0,1
242,2021-05-01,CD,CD,CD,NC,2,2,10.0,40.0,,30.0,,,8
243,2021-05-01,CD,CD,CD,CD,3,3,14.0,32.0,38.0,18.0,24.0,6.0,1
244,2021-05-01,CD,CD,CD,NC,2,2,24.0,36.0,,12.0,,,10
245,2021-05-01,CD,CD,CL,CL,3,3,5.0,15.0,41.0,10.0,36.0,26.0,1
246,2021-05-01,CD,CD,CD,CD,3,3,21.0,37.0,40.0,16.0,19.0,3.0,1
247,2021-05-01,CD,CD,CD,NC,2,2,13.0,41.0,,28.0,,,9
248,2021-05-01,CD,CL,CC,CL,3,3,5.0,32.0,39.0,27.0,34.0,7.0,1
249,2021-05-01,CC,CL,CC,CC,4,3+,17.0,24.0,26.0,7.0,9.0,2.0,1
250,2021-05-01,CD,CD,CD,CD,6,3+,18.0,21.0,31.0,3.0,13.0,10.0,1
251,2021-05-01,CD,CD,CD,CD,4,3+,22.0,26.0,28.0,4.0,6.0,2.0,1
252,2021-05-01,CD,CD,CD,CD,3,3,16.0,29.0,37.0,13.0,21.0,8.0,1
253,2021-05-01,CD,CL,CD,CL,3,3,8.0,24.0,26.0,16.0,18.0,2.0,1
254,2021-05-01,CD,CD,CD,NC,2,2,30.0,35.0,,5.0,,,8
255,2021-05-01,CD,CD,CD,CC,3,3,8.0,15.0,15.0,7.0,7.0,0.0,3
256,2021-05-01,CD,CD,CD,NC,2,2,14.0,30.0,,16.0,,,10
257,2021-05-01,CD,CD,CD,CD,5,3+,9.0,10.0,21.0,1.0,12.0,11.0,1
258,2021-05-01,CD,CD,CD,CD,11,3+,5.0,9.0,14.0,4.0,9.0,5.0,1
259,2021-05-01,CD,CL,CL,NC,2,2,8.0,32.0,,24.0,,,2
260,2021-05-01,CD,CD,CL,CD,3,3,5.0,17.0,32.0,12.0,27.0,15.0,1
261,2021-05-01,CD,CC,CL,CL,4,3+,0.0,7.0,28.0,7.0,28.0,21.0,1
262,2021-05-01,CD,CL,CL,NC,2,2,23.0,30.0,,7.0,,,1
263,2021-05-01,CD,CD,CD,NC,2,2,20.0,38.0,,18.0,,,10
264,2021-05-01,CD,CC,NC,NC,1,1,29.0,,,,,,10
265,2021-05-01,CD,CD,CD,CD,4,3+,7.0,17.0,30.0,10.0,23.0,13.0,1
266,2021-05-01,CD,CD,CD,NC,2,2,23.0,25.0,,2.0,,,9
267,2021-05-01,CD,CC,NC,NC,1,1,8.0,,,,,,36
268,2021-05-01,CD,CD,HPL,NC,2,2,32.0,32.0,,0.0,,,8
269,2021-05-01,CD,CD,CL,CC,3,3,25.0,35.0,35.0,10.0,10.0,0.0,1
270,2021-05-01,CD,CD,CD,CD,3,3,22.0,32.0,36.0,10.0,14.0,4.0,1
271,2021-05-01,CD,CC,CD,CD,4,3+,1.0,8.0,31.0,7.0,30.0,23.0,1
272,2021-05-01,CD,CD,CD,NC,2,2,17.0,40.0,,23.0,,,4
273,2021-05-01,CD,CD,CD,CD,3,3,7.0,19.0,31.0,12.0,24.0,12.0,1
274,2021-05-01,CD,CD,CD,CD,3,3,10.0,18.0,23.0,8.0,13.0,5.0,1
275,2021-05-01,CD,CD,CD,NC,2,2,10.0,19.0,,9.0,,,10
276,2021-05-01,CD,CD,TW,HPL,3,3,28.0,41.0,41.0,13.0,13.0,0.0,1
277,2021-05-01,CD,CD,CD,CL,5,3+,5.0,6.0,14.0,1.0,9.0,8.0,2
278,2021-05-01,CD,CD,CD,CD,4,3+,7.0,10.0,14.0,3.0,7.0,4.0,1
279,2021-05-01,CD,CD,CC,CL,3,3,10.0,11.0,21.0,1.0,11.0,10.0,1
280,2021-05-01,CD,CD,CD,NC,2,2,23.0,36.0,,13.0,,,12
281,2021-05-01,CD,CD,CD,CD,3,3,8.0,15.0,26.0,7.0,18.0,11.0,2
282,2021-05-01,CD,CD,CD,HPL,3,3,5.0,34.0,35.0,29.0,30.0,1.0,1
283,2021-05-01,CD,CD,HPL,NC,2,2,16.0,28.0,,12.0,,,1
284,2021-05-01,CD,CD,CD,CD,3,3,5.0,14.0,18.0,9.0,13.0,4.0,1
285,2021-05-01,CD,CD,CD,NC,2,2,14.0,17.0,,3.0,,,8
286,2021-05-01,CD,CD,CD,NC,2,2,1.0,12.0,,11.0,,,7
287,2021-05-01,CD,CD,CL,NC,2,2,22.0,28.0,,6.0,,,1
288,2021-05-01,CD,CD,CD,NC,2,2,17.0,24.0,,7.0,,,10
289,2021-05-01,CD,CD,TW,NC,2,2,28.0,37.0,,9.0,,,1
290,2021-05-01,CD,CD,CD,CD,3,3,5.0,9.0,18.0,4.0,13.0,9.0,2
291,2021-05-01,CD,CD,CD,CL,5,3+,15.0,19.0,19.0,4.0,4.0,0.0,1
292,2021-05-01,CD,CD,CD,CD,3,3,10.0,24.0,37.0,14.0,27.0,13.0,2
293,2021-05-01,CD,CD,CL,CC,5,3+,8.0,17.0,28.0,9.0,20.0,11.0,1
294,2021-05-01,CD,CD,CD,CD,3,3,12.0,13.0,31.0,1.0,19.0,18.0,1
295,2021-05-01,CD,CL,CD,CD,4,3+,10.0,13.0,14.0,3.0,4.0,1.0,1
296,2021-05-01,CD,CD,CD,CD,3,3,5.0,11.0,25.0,6.0,20.0,14.0,1
297,2021-05-01,CD,TW,CD,CD,5,3+,8.0,20.0,32.0,12.0,24.0,12.0,1
298,2021-05-01,CD,CD,CL,CD,6,3+,7.0,11.0,22.0,4.0,15.0,11.0,1
299,2021-05-01,CD,CD,CL,NC,2,2,3.0,7.0,,4.0,,,1
300,2021-05-01,CD,CD,CD,CC,7,3+,4.0,20.0,25.0,16.0,21.0,5.0,1
